Name;ID;Initial Class;Age;Gender;Birth Month;Birth Day;Support Type;Innate Prof.;Sub Proficiency;Level;Internal Level;HP Base;Str Base;Mag Base;Dex Base;Spd Base;Def Base;Res Base;Lck Base;Bld Base;Mov Base;SP;HP Growth;Str Growth;Mag Growth;Dex Growth;Spd Growth;Def Growth;Res Growth;Lck Growth;Bld Growth;HP Cap+;Str Cap+;Mag Cap+;Dex Cap+;Spd Cap+;Def Cap+;Res Cap+;Lck Cap+;Common Skills;Normal Skills;Hard Skills;Maddening Skills;Engage Skills;Origin;Description;HP Base Hard;Str Base Hard;Mag Base Hard;Dex Base Hard;Spd Base Hard;Def Base Hard;Res Base Hard;Lck Base Hard;Bld Base Hard;Mov Base Hard;HP Base Maddening;Str Base Maddening;Mag Base Maddening;Dex Base Maddening;Spd Base Maddening;Def Base Maddening;Res Base Maddening;Lck Base Maddening;Bld Base Maddening;Mov Base Maddening
Roy;PID_S012_ロイ;Emblem;---;Male;---;---;Default;---;---;35;0;36;20;2;16;26;5;4;19;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Hold Out+++, Advance, Rise Above, (Stuck);(Hit/Avoid -10);---;Veteran+;Blazing Lion;---;Known as the Emblem of Binding. A nobleman who excels as a general, brave and intelligent.;40;29;6;18;28;14;12;21;13;5;47;31;6;18;24;19;13;21;13;5
Fabrication;PID_S012_幻影兵_リリーナ;Sage;---;Female;---;---;Default;---;---;28;0;37;5;20;27;24;7;24;21;11*;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;Seal Resistance;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;13;27;30;26;17;38;22;11*;5;43*;20;48*;34*;30*;20*;44*;17;10;5
Fabrication;PID_S012_幻影兵_セイジ_ロイ周辺;Sage;---;Female;---;---;Default;---;---;11;0;30;4;17;20;17;12;18;11;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Seal Resistance;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;32;9;23;22;20;16;28;12;8;5;37;13;35;27;24;19;35;12;8;5
Fabrication;PID_S012_幻影兵_セイジ_ロイ周辺2;Sage;---;Female;---;---;Default;---;---;11;0;30;4;17;20;17;12;18;11;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Seal Resistance;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;32;9;23;22;20;16;28;12;8;5;37;13;35;27;24;19;35;12;8;5
Fabrication;PID_S012_幻影兵_ジェネラル_ロイ周辺;General;---;Male;---;---;Default;---;---;11;0;54;24;1;21;9;26;2;8;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Steady Stance;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;59;33;3;24;10;36;9;9;18;4;64;36;7;29;14;43;15;9;18;4
Fabrication;PID_S012_幻影兵_ジェネラル_ロイ周辺2;General;---;Male;---;---;Default;---;---;11;0;54;24;1;21;9;26;2;8;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Steady Stance;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;59;33;3;24;10;36;9;9;18;4;64;36;7;29;14;43;15;9;18;4
Fabrication;PID_S012_幻影兵_スナイパー_ロイ周辺;Sniper;---;Female;---;---;Default;---;---;11;0;43;20;1;29;20;16;6;10;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Seal Defense;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;47;27;6;33;25;23;13;11;10;5;51;31;10;37;25;23;20;11;10;5
Fabrication;PID_S012_幻影兵_スナイパー_ロイ周辺2;Sniper;---;Female;---;---;Default;---;---;11;0;43;20;1;29;20;16;6;10;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Seal Defense;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;47;27;6;33;25;23;13;11;10;5;51;31;10;37;25;23;20;11;10;5
Fabrication;PID_S012_幻影兵_ゲイル;Wyvern Knight;---;Male;---;---;Default;---;---;11;0;51;19;8;24;22;13;8;8;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Certain Blow;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;56;28;13;27;25;22;14;9;12;6;61;34;18;31;29;29;21;9;12;6
Fabrication;PID_S012_幻影兵_セイジ;Sage;---;Female;---;---;Default;---;---;11;0;32;4;15;20;18;12;18;11;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Seal Resistance;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;32;9;23;22;20;16;28;12;8;5;37;13;35;27;24;19;35;12;8;5
Fabrication;PID_S012_幻影兵_ジェネラル;General;---;Male;---;---;Default;---;---;11;0;54;24;1;21;9;26;2;8;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Steady Stance;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;59;33;3;24;10;36;9;9;18;4;64;36;7;29;14;43;15;9;18;4
Fabrication;PID_S012_幻影兵_ジェネラル_増援1;General;---;Male;---;---;Default;---;---;11;0;54;24;1;21;9;26;2;8;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Steady Stance;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;59;33;3;24;10;36;9;9;18;4;64;36;7;29;14;43;15;9;18;4
Fabrication;PID_S012_幻影兵_ドラゴンナイト;Wyvern Knight;---;Male;---;---;Default;---;---;11;0;50;21;8;25;24;13;8;9;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Certain Blow;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;46;25;13;25;20;17;12;9;12;6;54;30;17;30;25;22;15;9;12;6
Fabrication;PID_S012_幻影兵_ドラゴンナイト_増援4;Wyvern Knight;---;Male;---;---;Default;---;---;11;0;50;21;8;25;24;13;8;9;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Certain Blow;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;46;25;13;25;20;17;12;9;12;6;54;30;17;30;25;22;15;9;12;6
Fabrication;PID_S012_幻影兵_スナイパー;Sniper;---;Female;---;---;Default;---;---;11;0;43;20;1;29;20;16;6;10;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Seal Defense;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;47;27;6;33;25;23;13;11;10;5;51;31;10;37;25;23;20;11;10;5
Fabrication;PID_S012_幻影兵_スナイパー_増援1;Sniper;---;Female;---;---;Default;---;---;11;0;43;20;1;29;20;16;6;10;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Seal Defense;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;47;27;6;33;25;23;13;11;10;5;51;31;10;37;25;23;20;11;10;5
Fabrication;PID_S012_幻影兵_マスターモンク;Martial Master;---;Female;---;---;Default;---;---;11;0;42;14;14;15;15;9;15;11;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;45;20;22;17;17;16;24;12;11;5;50;25;28;22;22;23;32;12;11;5
Fabrication;PID_S012_幻影兵_ハルバーディア;Halberdier;---;Male;---;---;Default;---;---;11;0;47;21;6;26;20;14;7;8;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Seal Speed;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;52;28;12;29;23;22;14;9;11;5;57;32;17;34;27;28;21;9;11;5
Fabrication;PID_S012_幻影兵_パラディン;Paladin;---;Male;---;---;Default;---;---;11;0;48;20;2;26;23;13;14;11;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;53;27;7;29;26;22;21;12;12;6;58;31;11;33;28;29;23;12;12;6
Fabrication;PID_S012_幻影兵_パラディン_増援4;Paladin;---;Male;---;---;Default;---;---;11;0;48;20;2;26;23;13;14;11;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;53;27;7;29;26;22;21;12;12;6;58;31;11;33;28;29;23;12;12;6
Fabrication;PID_S012_幻影竜;Phantom Wyrm;---;???;---;---;Default;---;---;28;0;48;0*;10;10;2;16;15;4;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Spirit Strike;---;---;A soulless monster created by secret techniques. It has no will of its own and only follows its master's orders.;52;0*;18;12;3;24;23;4;19;2;56;0*;29;16;6*;29;29;4;19;2
Celica;PID_S013_セリカ;Emblem;---;Female;---;---;Default;---;---;35;0;53;20;20;19;23;11;18;17;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Holy Stance++, Resonance+, Favorite Food, Echo, (Stuck);(Hit/Avoid -20);---;Unbreakable;Warp Ragnarok;---;Known as the Emblem of Echoes. The princess of a vibrant country, as well as a warrior priestess.;53;25;34;19;25;21;32;17;10;5;53;25;35;19;25;21;32;17;10;5
Fabrication;PID_S013_幻影兵_召喚師１;High Priest;---;Female;---;---;Default;---;---;12;0;36;6;18;18;18;4;15;15;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Anchor;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;11;27;21;20;13;31;18;9;5;44;16;34;26;25;19;39;18;9;5
Fabrication;PID_S013_幻影兵_召喚師２;High Priest;---;Female;---;---;Default;---;---;12;0;36;6;18;18;18;4;15;15;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Anchor;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;11;27;21;20;13;31;18;9;5;44;16;34;26;25;19;39;18;9;5
Fabrication;PID_S013_幻影兵_召喚師３;High Priest;---;Female;---;---;Default;---;---;12;0;36;6;18;18;18;4;15;15;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Anchor;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;11;27;21;20;13;31;18;9;5;44;16;34;26;25;19;39;18;9;5
Fabrication;PID_S013_幻影兵_ワープ１;High Priest;---;Female;---;---;Default;---;---;12;0;36;6;18;18;18;4;15;15;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Anchor;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;11;27;21;20;13;31;18;9;5;44;16;34;26;25;19;39;18;9;5
Fabrication;PID_S013_幻影兵_ワープ２;High Priest;---;Female;---;---;Default;---;---;12;0;36;6;18;18;18;4;15;15;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Anchor;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;11;27;21;20;13;31;18;9;5;44;16;34;26;25;19;39;18;9;5
Fabrication;PID_S013_幻影兵_ワープ３;High Priest;---;Female;---;---;Default;---;---;12;0;36;6;18;18;18;4;15;15;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Anchor;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;11;27;21;20;13;31;18;9;5;44;16;34;26;25;19;39;18;9;5
Fabrication;PID_S013_幻影竜１;Phantom Wyrm;---;???;---;---;Default;---;---;28;0;47;0*;15;9;2;11;11;3;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Spirit Strike;---;---;A soulless monster created by secret techniques. It has no will of its own and only follows its master's orders.;52;0*;23;12;3;24;23;4;19;2;56;0*;29;16;6*;31;30;4;19;2
Fabrication;PID_S013_幻影竜２;Phantom Wyrm;---;???;---;---;Default;---;---;28;0;47;0*;15;9;2;11;11;3;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Spirit Strike;---;---;A soulless monster created by secret techniques. It has no will of its own and only follows its master's orders.;52;0*;23;12;3;24;23;4;19;2;56;0*;29;16;6*;31;30;4;19;2
Fabrication;PID_S013_幻影竜３;Phantom Wyrm;---;???;---;---;Default;---;---;28;0;47;0*;15;9;2;11;11;3;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;Spirit Strike;---;---;A soulless monster created by secret techniques. It has no will of its own and only follows its master's orders.;52;0*;23;12;3;24;23;4;19;2;56;0*;29;16;6*;31;30;4;19;2
Fabrication;PID_S013_幻影兵_ハイプリースト;High Priest;---;Female;---;---;Default;---;---;14;0;37;6;19;19;19;6;18;16;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;40;12;28;22;21;13;32;19;9;5;46;17;35;27;26;20*;41;19;9;5
Fabrication;PID_S013_幻影兵_ブレイブヒーロー;Hero;---;Male;---;---;Default;---;---;13;0;47;19;0;20;24;8;6;12;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;53;28;5;23;27;20;14;15;12;5;58;34;10;29;32;28;20;15;12;5
Fabrication;PID_S013_幻影兵_ハルバーディア;Halberdier;---;Male;---;---;Default;---;---;13;0;45;16;6;27;21;9;7;8;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;51;27;13;30;24;21;15;10;11;5;59;34;18;35;28;29;22;10;11;5
Fabrication;PID_S013_幻影兵_スナイパー;Sniper;---;Female;---;---;Default;---;---;13;0;44;15;1;30;18;10;6;10;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;48;28;6;34;21;18;14;11;10;5;53;33;11;39;26;24;21;11;10;5
Fabrication;PID_S013_幻影兵_パラディン;Paladin;---;Male;---;---;Default;---;---;13;0;45;15;2;26;22;13;10;11;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;51;28;7;30;25;23;18;13;12;6;60;33;12;35;29;31;24;13;12;6
Fabrication;PID_S013_幻影兵_ボウナイト;Bow Knight;---;Female;---;---;Default;---;---;13;0;44;10;3;26;22;7;10;11;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;48;19;9;30;25;15;18;13;10;6;53;27;14;35;29;21;24;13;10;6
Fabrication;PID_S013_幻影兵_ジェネラル;General;---;Male;---;---;Default;---;---;13;0;50;22;1;22;9;22;2;8;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;56;31;3;25;10;33;9;10;18;4;66;37;8;30;15;45;16*;10;18;4
Fabrication;PID_S013_幻影兵_ドラゴンナイト;Wyvern Knight;---;Female;---;---;Default;---;---;13;0;49;18;8;24;23;11;8;8;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;55;27;14;28;26;21;15;10;13;6;63;35;19;33;30;31;22*;10;13;6
Fabrication;PID_S013_幻影兵_グリフォンナイト;Griffin Knight;---;Female;---;---;Default;---;---;13;0;44;16;12;28;29;9;16;14;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;48;24;20;31;32;17;24;17;10;6;53;28;24;36;37;24;30;17;10;6
Fabrication;PID_S013_幻影兵_セイジ;Sage;---;Female;---;---;Default;---;---;13;0;31;4;16;20;18;6;16;11;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;33;9;25;23;20;13;27;13;8;5;38;14;37;28;25;20*;37;13;8;5
Fabrication;PID_S013_幻影兵_マージナイト;Mage Knight;---;Male;---;---;Default;---;---;13;0;33;12;15;17;20;8;14;7;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;36;18;24;20;22;16;24;9;9;6;41;23;30;25;27;23;34;9;9;6
Fabrication;PID_S013_幻影兵_ランスファイター;Lance Fighter;---;Female;---;---;Default;---;---;20;0;39;14;5;19;15;9;5;5;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;39;17;8;19;15;13;9;5;7;4;42;19;11;22;17;16;12;5;7;4
Fabrication;PID_S013_幻影兵_アクスペガサス;Axe Flier;---;Female;---;---;Default;---;---;20;0;35;11;7;18;19;7;11;9;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;35;14;10;18;19;11;15;9;6;5;38;16;12;21;22;14;18;9;6;5
Fabrication;PID_S013_幻影兵_ソードマスター;Swordmaster;---;Female;---;---;Default;---;---;13;0;46;17;4;28;31;10;9;16;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.;46;22;9;28;31;16;15;16;9;5;50;26;13;32;36;23;22;16;9;5
Veyle;PID_M021_ヴェイル;Fell Child;---;Female;---;---;Default;Tome;Dagger;35;0;50*;20;25;19;25;18;22;18;7;5;0;40;25;55;35;30;25;35;20;0;0;0;0;0;0;0;0;0;Fell Protection, (Equip Obscurité), (Equip Misericorde), Anchor, (Stuck), (Foe with Death Convo);(Hit/Avoid -10);Stalwart;Veteran+;Lodestar Rush;---;Veyle, now crowned with the Fell Dragon's helmet. Her destructive urges and hatred are intensified.;50*;23;29;19;25;25;30;18;7;5;50*;25;32;30*;25;25;30;25*;7;5
Zephia;PID_M021_セピア;Melusine;---;Female;---;---;Default;Sword;---;34;0;60;22;19;21;28;19;24;10;9;6;0;75;45;45;45;60;40;45;25;10;0;0;0;0;0;0;0;0;(Stuck), (Foe with Death Convo);(Hit/Avoid -10);Stalwart;Veteran+;---;---;The leader of the Four Hounds. She is descended from mage dragons and has lived thousands of years.;60;22;26;21;28;27;28;10;9;6;60;27;28;21;28;27;28;10;9;6
Griss;PID_M021_グリ;Sage;---;Male;---;---;Default;Staff;---;15;0;43*;14;26;16;17;18;28;13;8;5;0;70;40;60;25;30;45;60;30;10;0;0;0;0;0;0;0;0;(Stuck), (Foe with Death Convo);(Hit/Avoid -10);---;Unbreakable;---;---;Fearsome member of the Four Hounds. A dangerously unstable and violent user of powerful magic.;43*;14;29;16;17;18;29;13;8;5;43*;14;31;25;30*;20*;35;13;8;5
Corrupted;PID_M021_異形兵_ベルセルク;Berserker;---;Male;---;---;Default;---;---;12;0;60;28;0;12;17;6;2;5;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;64;31;3;3;18;12;7;5;17;5;71;39;8;20;24;19;11*;5;17;5
Corrupted;PID_M021_異形兵_ウォーリアー;Warrior;---;Male;---;---;Default;---;---;12;0;58;23;1;12;19;7;4;5;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;62;29;6;13;21;14;11;5;14;5;69;36;11;25;26;23;17;5;14;5
Corrupted;PID_M021_異形兵_ソードマスター;Swordmaster;---;Female;---;---;Default;---;---;12;0;46;16;4;25;32;9;8;15;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;45;26;9;27;34;16;18;16;9;5;51;32;14;33;40;23;25;17;9;5
Corrupted;PID_M021_異形兵_ブレイブヒーロー;Hero;---;Male;---;---;Default;---;---;12;0;47;20;0;20;27;13;6;12;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;50;32;5;21;29;20;16;14;12;5;57;40;10;29;34;27;22*;14;12;5
Corrupted;PID_M021_異形兵_ハルバーディア;Halberdier;---;Male;---;---;Default;---;---;12;0;48;19;6;22;23;16;7;8;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;51;27;12;29;22;21;14;9;11;5;58;33;17;35;28;28;21;9;11;5
Corrupted;PID_M021_異形兵_スナイパー;Sniper;---;Female;---;---;Default;---;---;12;0;44;20;1;30;20;13;6;10;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;46;26;6;32;20;20;16;11;10;5;52;32;11;38;25;27;23;11;10;5
Corrupted;PID_M021_異形兵_パラディン;Paladin;---;Male;---;---;Default;---;---;12;0;49;20;2;26;22;15;10;11;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;52;26;7;28;23;21;19;12;12;6;59;32;12;34;29;30;26;13;12;6
Corrupted;PID_M021_異形兵_ボウナイト;Bow Knight;---;Female;---;---;Default;---;---;12;0;44;17;3;26;24;7;10;11;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;46;21;8;28;23;14;17;12;10;6;52;26;13;34;29;21;24;13;10;6
Corrupted;PID_M021_異形兵_ジェネラル;General;---;Male;---;---;Default;---;---;12;0;55;22;1;22;9;22;2;8;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;58;29;3;24;10;35;9;9;18;4;65;37;7;29;15;44;15;9;18;4
Corrupted;PID_M021_異形兵_ハイプリースト;High Priest;---;Female;---;---;Default;---;---;12;0;39;6;19;19;18;6;21;16;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;38;11;26;20;20;12;30;17;9;5;44;16;34;26;25;19;39;18;9;5
Corrupted;PID_M021_異形兵_ドラゴンナイト;Wyvern Knight;---;Male;---;---;Default;---;---;12;0;50;20;8;22;23;13;8;8;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;55;27;13;26;24;21;14;9;12;6;62;35;19;32;30;30;21;9;12;6
Corrupted;PID_M021_異形兵_セイジ;Sage;---;Female;---;---;Default;---;---;12;0;36;4;19;23;21;8;21;11;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;32;9;24;25;19;12;25;12;8;5;38;14;36;30;25;19;36;13;8;5
Corrupted;PID_M021_異形兵_マージナイト;Mage Knight;---;Male;---;---;Default;---;---;12;0;38;12;15;17;20;10;16;7;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;35;17;22;19;21;17;23;8;9;6;40;23;29;24;27;24;34;8;9;6
Corrupted;PID_M021_異形兵_シーフ;Thief;---;Female;---;---;Default;---;---;29;0;38;15;1;28;29;12;6;10;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;40;22;6;30;25;19;12;10;8;5;46;29;11;36;31;26;19;11;9;5
Corrupted Wyrm;PID_M021_異形竜;Corrupted Wyrm;---;???;---;---;Default;---;---;30;0;52;0*;16;10;3;16;16;4;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.;52;0*;23;12;3;22;22;4;19;2;58;0*;30;17;6*;31;31;5;19;2
Corrupted Wyrm;PID_M022_ボス;Corrupted Wyrm;---;???;---;---;Default;---;---;38;0;58;0*;22;15;5;18;18;6;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;Spirit Strike;---;---;A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.;58;0*;27;15;4;26;26;6;21;2;67;0*;36;23;6*;35;35;6;22;2
Corrupted Wyrm;PID_M022_異形竜;Corrupted Wyrm;---;???;---;---;Default;---;---;33;0;56;0*;18;13;3;16;16;5;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -10);---;Spirit Strike;---;---;A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.;56;0*;23;12;3;22;22;4;19;2;64;0*;30;19;6*;30;30;4;20;2
